13.08	0	0.017004
12.426	0	0.149112
11.772	0	0.272064
10.464	0	0.4905
9.156	0	0.677544
7.848	0	0.831888
6.54	0	0.946992
5.232	0	1.02024
3.924	0	1.030704
3.27	0	1.003236
2.616	0	0.949608
1.962	0	0.864588
1.308	0	0.736404
0.981	0	0.648768
0.654	0	0.540204
0.327	0	0.391092
0.1635	0	0.28122
0	0	0
0.1635	0	-0.21582
0.327	0	-0.296916
0.654	0	-0.393708
0.981	0	-0.452568
1.308	0	-0.4905
1.962	0	-0.53628
2.616	0	-0.553284
3.27	0	-0.551976
3.924	0	-0.538896
5.232	0	-0.49704
6.54	0	-0.436872
7.848	0	-0.361008
9.156	0	-0.279912
10.464	0	-0.1962
11.772	0	-0.107256
12.426	0	-0.062784
13.08	0	-0.017004
