0.8	0	0.00104
0.76	0	0.00912
0.72	0	0.01664
0.64	0	0.03
0.56	0	0.04144
0.48	0	0.05088
0.4	0	0.05792
0.32	0	0.0624
0.24	0	0.06304
0.2	0	0.06136
0.16	0	0.05808
0.12	0	0.05288
0.08	0	0.04504
0.06	0	0.03968
0.04	0	0.03304
0.02	0	0.02392
0.01	0	0.0172
0	0	0
0.01	0	-0.0132
0.02	0	-0.01816
0.04	0	-0.02408
0.06	0	-0.02768
0.08	0	-0.03
0.12	0	-0.0328
0.16	0	-0.03384
0.2	0	-0.03376
0.24	0	-0.03296
0.32	0	-0.0304
0.4	0	-0.02672
0.48	0	-0.02208
0.56	0	-0.01712
0.64	0	-0.012
0.72	0	-0.00656
0.76	0	-0.00384
0.8	0	-0.00104
