13.08	0	0.013734
12.426	0	0.0878976
11.772	0	0.1578756
10.464	0	0.2860596
9.156	0	0.3993324
7.848	0	0.4974324
6.54	0	0.5770896
5.232	0	0.6326796
3.924	0	0.6542616
3.27	0	0.6477216
2.616	0	0.6254856
1.962	0	0.582714
1.308	0	0.5103816
0.981	0	0.4578
0.654	0	0.3874296
0.327	0	0.2848824
0.1635	0	0.2064024
0	0	0
0.1635	0	-0.2064024
0.327	0	-0.2848824
0.654	0	-0.3874296
0.981	0	-0.4578
1.308	0	-0.5103816
1.962	0	-0.582714
2.616	0	-0.6254856
3.27	0	-0.6477216
3.924	0	-0.6542616
5.232	0	-0.6326796
6.54	0	-0.5770896
7.848	0	-0.4974324
9.156	0	-0.3993324
10.464	0	-0.2860596
11.772	0	-0.1578756
12.426	0	-0.0878976
13.08	0	-0.013734
